title,body,category,ticket_id
Unexpected application slowdowns,"The platform works great for the first hour of my session, but then it starts to slow down significantly. It feels like a memory leak that gets worse the longer I stay logged in. Do you have any suggestions to mitigate this?",Performance,TKT-01197
User authentication failing with incorrect token error,I keep getting an invalid token error when trying to access the API even after generating a fresh one from the settings page. I have double-checked the authentication header and it seems correct. Could my account permissions have been restricted?,Technical,TKT-00527
Payment link expired,"The link you sent me to pay the outstanding balance has expired. Could you please generate a new one so I can settle my account? I apologize for the delay, I have been traveling for work.",Billing,TKT-00394
Suspicious third-party app access,"I noticed an application listed under 'Authorized Apps' that I definitely did not connect to my account. I have removed it, but how do I know if they already pulled my personal information? I am very worried about my data safety.",Security,TKT-01405
Integration webhook stopped firing,"We have an automated webhook set up to notify our internal system, but it has stopped triggering as of this morning. We haven't changed any configurations on our side. Could you verify if the webhook service is operational?",Technical,TKT-00434
Blank screen after logging in,"I enter my credentials and the screen just goes white. I have tried disabling all my browser extensions, but that did not fix it. What could be causing this display issue?",Technical,TKT-00577
API key exposure,"I accidentally committed my production API key to a public repository by mistake. I have already deleted the repository, but I need to know how to revoke the existing key and generate a new one. This is quite urgent.",Security,TKT-01212
Unable to export data to CSV,"I am trying to export my monthly history, but the file download doesn't trigger. The browser developer console shows a failed network request to the export server. Could you please let me know if this feature is currently broken?",Technical,TKT-00430
Requesting read receipts for direct messages,"In our remote team, it is often hard to know if someone has seen a message or if they are still AFK. Could you please add read receipts for direct messages? It would help reduce unnecessary follow-up pings.",Feature Request,TKT-00612
Configuration changes are not saving,"I updated my profile settings and clicked save, but the changes revert as soon as I refresh the page. The system shows a success notification, yet the data in the database remains unchanged. Am I missing a step?",Technical,TKT-00531
Double billed for the same month,It looks like I was charged twice for my subscription this month. I have two separate transactions showing on my card statement from the same date. Please investigate this double billing error.,Subscription,TKT-00813
Please stop sending me daily newsletters,"I cannot find the unsubscribe link anywhere in the footer of your marketing emails. I have requested to opt out twice now, but I keep receiving the daily digest. Please remove my address from your mailing list immediately.",Notifications,TKT-01451
