ticket_id,title,body,category
TKT-00001,Cannot log in after password reset,"I requested a password reset link earlier today and followed the instructions to change it. Now, whenever I try to sign in with the new password, the page just refreshes and keeps me on the login screen. I have tried clearing my browser cache but the issue persists.",Account Access
TKT-00002,Locked out of my account,"I keep getting an error saying my account is locked due to too many failed login attempts. I am positive I typed my password correctly, but maybe I had caps lock on by accident. Can you please unlock it for me?",Account Access
TKT-00003,Two-factor authentication code not arriving,"I am trying to log in, but the 2FA code is never sent to my device. I have checked my spam folder and waited several minutes, but nothing shows up. How can I get back into my account?",Account Access
TKT-00004,Account shows as deactivated,"I haven't logged in for a few months, and now when I try, it says my account is deactivated. I definitely didn't request a deletion. Can you please reactivate it for me?",Account Access
TKT-00005,Forgotten username and password,It has been such a long time since I used your service that I have completely forgotten which email address I used to register. Is there any way to recover my account details? I have some saved files there that I really need access to.,Account Access
TKT-00006,Session timed out error on every login,"Every time I enter my credentials, the site immediately tells me my session has timed out. I am using a standard browser and I have already tried restarting my computer. This is extremely frustrating because I cannot get any work done.",Account Access
TKT-00007,Security question reset needed,"I am trying to update my profile information, but the site keeps asking for a security question that I do not recall setting up. I must have set it up years ago and forgotten the answer. How can I reset this?",Account Access
TKT-00008,Unable to log in via social media,"I usually log in using my linked social media profile, but today it just returns a server error. I tried logging in with my email directly, but the system says I don't have a password set up since I always use the third-party sign-in. Can you help me link a password to my account?",Account Access
TKT-00009,Authenticator app desynced,I got a new phone and my authenticator app did not transfer the tokens correctly. Now the codes I generate are being rejected by your system. Please help me reset my 2FA settings.,Account Access
TKT-00010,Access denied after browser update,"Ever since I updated my web browser, I get an 'Access Denied' error message when I try to log into my dashboard. Everything worked perfectly yesterday morning. Could you look into whether my account has been restricted?",Account Access
TKT-00011,Account flagged for suspicious activity,"I received an email saying my account was suspended due to suspicious activity. I haven't been on the site in weeks, so I'm very concerned that my account was compromised. Please let me know how to secure it and regain access.",Account Access
TKT-00012,Help with recovery email,"The email address I used to sign up for this account is no longer active and I cannot access it. Because of this, I cannot receive the reset links for my password. What is the process for updating the recovery email when you are already locked out?",Account Access
TKT-00013,Login page freezing,"When I type in my password and hit enter, the submit button just spins indefinitely. It never actually logs me into the dashboard. Is there an issue with your servers right now?",Account Access
TKT-00014,Incorrect credentials error,I am trying to log in but it keeps telling me my credentials are incorrect. I even copied and pasted the password from my manager just to be safe. Is it possible there is a problem with the login service?,Account Access
TKT-00015,Request to merge duplicate accounts,I have two separate accounts by mistake and I am constantly logging into the wrong one. Is it possible to merge these accounts so I can access all my data in one place? I'd like to consolidate them as soon as possible.,Account Access
TKT-00016,Login page redirect loop,"When I navigate to the login page, it keeps redirecting me back to the homepage in an endless loop. I cannot even reach the fields to input my login info. This happens on both my laptop and my phone.",Account Access
TKT-00017,Not receiving account verification email,I signed up for a new account but never received the verification link. I checked my inbox and spam folder multiple times throughout the day. Can you manually verify my account or resend the link?,Account Access
TKT-00018,Can I have multiple users for one account?,"I'm trying to figure out if I can set up login access for my assistant on my account. Currently, we share a password but that's not ideal for security. Does your system support secondary logins?",Account Access
TKT-00019,Need help changing account email address,"I need to change the email associated with my login, but the system won't let me do it without a verification code being sent to the old email address, which I no longer control. How can I resolve this? I am the owner of the account and can provide proof if needed.",Account Access
TKT-00020,Error message when trying to register,"I tried to create an account, but it says an account with my email already exists. When I try to reset the password for that email, it says no account is found. I am stuck in a loop and cannot get in.",Account Access
TKT-00021,Cannot log into my account,I am trying to log in but the screen keeps refreshing after I enter my password. I have cleared my browser cache twice now. Please let me know what I should do next.,Account Access
TKT-00022,Account locked after failed attempts,I think I typed my password wrong too many times and now my account is locked. How do I go about unlocking it? I really need to get in today to finish some work.,Account Access
TKT-00023,Two-factor authentication not sending codes,"I am not receiving the SMS verification codes when I try to log in. I have checked my signal and restarted my device, but nothing is coming through. Is there another way for me to verify my identity?",Account Access
TKT-00024,Forgotten password reset link not working,"I requested a password reset, but the link in the email just takes me back to the main login page. I am very frustrated because I have been trying to access my account for an hour. Can someone please assist me manually?",Account Access
TKT-00025,Account access issue on new device,I just bought a new laptop and cannot seem to log into my account here. It keeps telling me that the device is unrecognized. Is there a way to whitelist this new computer?,Account Access
TKT-00026,Suspicious activity lockout,"My account was locked due to unusual activity, but it was actually me traveling abroad. How can I verify that I am the one trying to sign in? I need access immediately.",Account Access
TKT-00027,Username not recognized,"I have been using the same username for years, but now the system says it does not exist. Did you guys delete my account for some reason? I am worried about losing my data.",Account Access
TKT-00028,Error 403 when attempting to login,"Every time I attempt to access the portal, I get a 403 Forbidden error message. I have tried using a different browser and a different network connection. Could this be an issue with my account permissions?",Account Access
TKT-00029,Need to update recovery email,"I no longer have access to the email address currently linked to my account. Because of this, I cannot reset my password. How can I update my recovery information without being logged in?",Account Access
TKT-00030,Authenticator app desynced,My phone broke and I lost access to my authenticator app. Now I cannot get the six-digit code required to enter my account. Can you reset the MFA settings for me?,Account Access
TKT-00031,Account disabled by system,I tried to sign in this morning and received a notice that my account has been disabled. I have not violated any terms of service that I am aware of. Can you please look into why this happened?,Account Access
TKT-00032,Multiple login attempts from unknown location,"I received a notification about a login attempt from a different country. I have since changed my password, but I am still worried about the security of my profile. Should I take any additional steps to protect my account?",Account Access
TKT-00033,Stuck in a loop at login,"Whenever I enter my credentials, it asks me to update my profile information. When I click the update button, it redirects me back to the start. The whole thing is just stuck in a never-ending cycle.",Account Access
TKT-00034,Password reset email never arrives,"I have requested a password reset five times over the last two hours. I have checked my spam and junk folders, but there is absolutely nothing there. Is your email server down?",Account Access
TKT-00035,Change of ownership access,My colleague has left the company and I need to gain access to their account to retrieve client files. We have all the necessary documentation to prove we own the account. What is the process for a transfer?,Account Access
TKT-00036,Unable to verify identity,"I am trying to log in, but the identity verification prompt is failing every single time. It keeps saying my uploaded ID does not match my records. Can I speak to a human to get this resolved?",Account Access
TKT-00037,Login page won't load,"The entire login page is just a blank white screen when I try to load it on my desktop. I have tried using Chrome, Firefox, and Edge with no luck. Are you experiencing a service outage?",Account Access
TKT-00038,Forgot security question answers,I am locked out because I forgot the answers to my security questions. It has been a long time since I set them up. Is there another way to prove I own this account?,Account Access
TKT-00039,Session timeout issues,I keep getting kicked out of my account after only one minute of inactivity. It is very annoying to have to log back in constantly while I am trying to work. Can I extend my session duration?,Account Access
TKT-00040,Deactivated account recovery,"I deactivated my account a few months ago and would like to reactivate it now. I tried signing in with my old details, but it says the user account does not exist. Is it possible to restore my old account?",Account Access
TKT-00041,Cannot log in after password reset,"I requested a password reset earlier this morning because I forgot my login credentials. I received the link and updated my password, but now the system keeps saying my credentials are invalid. Please help me get back into my account.",Account Access
TKT-00042,Account locked due to too many attempts,"I made a few typos while trying to sign in and now my account is completely locked. It says I have to wait twenty-four hours, but I have a deadline today. Is there any way to unlock it sooner?",Account Access
TKT-00043,Two-factor authentication code not arriving,"I'm trying to sign in, but I never receive the verification code on my device. I have checked my spam folder and restarted my phone multiple times. Nothing seems to be working and I am stuck on the verification screen.",Account Access
TKT-00044,Account shows as deactivated,I went to log in this morning and received a message stating that my account has been deactivated. I haven't done anything to violate the terms of service that I know of. Could you please look into why this happened?,Account Access
TKT-00045,Reset password email never arrives,"I have clicked the 'Forgot Password' button three times now, but no email ever arrives in my inbox. I have verified that I am using the correct registered email address. Can you manually trigger a reset for me?",Account Access
TKT-00046,Access denied error code 403,"Every time I try to access my dashboard, I get a 403 Forbidden error. I have cleared my browser cache and tried using a different browser, but the issue persists. What is causing this access restriction?",Account Access
TKT-00047,Lost access to authenticator app,I got a new phone and I can no longer access the authenticator app that holds my security codes. I am unable to log into my account because it requires that code. How can I verify my identity to reset the authentication settings?,Account Access
TKT-00048,Unable to change account email,"I need to update the email associated with my account, but the verification email never comes through. When I click the resend button, it just spins indefinitely. Please assist me with changing my primary contact email.",Account Access
TKT-00049,Login page loops back to start,"When I enter my username and password, the page just refreshes and keeps me on the login screen. It doesn't give me an error message, it just loops back to the start. I am using the latest version of Chrome, so I'm not sure what is going on.",Account Access
TKT-00050,Multiple login failures from unknown location,I received an alert that there were several failed login attempts from a different country. I am worried my account has been compromised and I would like to force a logout of all active sessions. Can you assist me with securing my account?,Account Access
TKT-00051,Account access issues on mobile app,"The app keeps crashing whenever I try to enter my login information. I have uninstalled and reinstalled the application twice, but the problem remains. Can I get some support on this?",Account Access
